Scott Stadium;38.03079;-78.51520
Scott Stadium;38.03241;-78.51458
Brown Residential College;38.03395;-78.50840
Brown Residential College;38.03524;-78.50768
Brown Residential College;38.03542;-78.50716
Brown Residential College;38.03199;-78.50682
Brown Residential College;38.03390;-78.50784
Peabody;38.0354417;-78.5063986
Peabody;38.03569765;-78.5061318
Peabody;38.03574195;-78.5060427
Peabody;38.0354637;-78.5061193
Office of African American Affairs;38.03294055;-78.5062437
Office of African American Affairs;38.0329076;-78.5062193
Office of African American Affairs;38.03287915;-78.50620715
Office of African American Affairs;38.032824;-78.5061551
John Paul Johns Arena;38.04575;-78.50767
John Paul Johns Arena;38.04651;-78.50697
John Paul Johns Arena;38.04612;-78.50744
John Paul Johns Arena;38.04532;-78.50621
John Paul Johns Arena;38.04532;-78.50626
John Paul Johns Arena;38.04592;-78.50571
John Paul Johns Arena;38.04594;-78.50574
Chemical Engineering Building;38.03338;-78.51062425
Chemical Engineering Building;38.03328;-78.510645
Chemical Engineering Building;38.0332953;-78.5106795
Chemical Engineering Building;38.03334;-78.5105723
Brooks Hall;38.0357972;-78.50224155
Brooks Hall;38.0357972;-78.50224155
Brooks Hall;38.03567875;-78.50196048
Brooks Hall;38.038065;-78.50190143
Brooks Hall;38.03595507;-78.50226994
Minor;38.03374;-78.50684
Minor;38.03354;-78.50640
Minor;38.03406;-78.50627
Minor;38.03413;-78.50659
Wilson;38.03276;-78.50416
Wilson;38.03239;-78.50441
Wilson;38.03230;-78.50381
Wilson;38.03251;-78.50368
Mechanical Engineering;38.03237;-78.51102
Mechanical Engineering;38.03234;-78.51110
Mechanical Engineering;38.03239;-78.51113
Mechanical Engineering;38.03240;-78.51115
Mechanical Engineering;38.03280;-78.51111
Mechanical Engineering;38.03284;-78.51113
Mechanical Engineering;38.03286;-78.51098
Mechanical Engineering;38.03280;-78.51075
Memorial Gymnasium;38.03782042;-78.5067605
Memorial Gymnasium;38.0377854;-78.50683251
Memorial Gymnasium;38.03704077;-78.50774043
Memorial Gymnasium;38.03691249;-78.50729544
Cobb Hall;38.032615;-78.502743
Cobb Hall;38.032410;-78.503420
Booker House;38.036489;-78.502174
Booker House;38.036715;-78.502105
Runk;38.02876655;-78.518471
Runk;38.02876655;-78.518471
Runk;38.02899391;-78.519255
Runk;38.0285802;-78.5193065
Runk;38.028685;-78.5183740
Wilson Hall;38.0325;-78.5038
Wilson Hall;38.0323;-78.5038
Wilson Hall;38.0325;-78.5044
Wilson Hall;38.0326;-78.5043
Thornton Hall;38.03362;-78.50920
Thornton Hall;38.03374;-78.50976
Thornton Hall;38.03217;-78.50982
Thornton Hall;38.03239;-78.51073
The Corner;38.0345;-78.5001
